"myHashNum";"numCalls";"avgduration";"avgweekend1weekday0";"avgday1night0";"avgout1in0";"avgmissed1";"avgSMS1";"avgVoiceCall1";"avglongDuration1";"dn1";"dn2";"dn3";"dn4";"dn5"
52;3.06110655883715;0.729563461889173;0.61212218534775;1.1956161745828;0.853292176485409;0;1.86698914610463;0.803892558486742;0.501042796362726;0.000847278119042576;0.00275365388688837;0.0101673374285109;0;0
53;2.54886885888347;0.6353571132824;1.19014737893873;0.671694480102696;0.862962093309042;0;1.7900110802664;0.821304508350244;0.387169433553016;0.000254388196387688;0;0.00101755278555075;0;0
54;1.1703658840714;1.01840049370243;1.1787817150198;1.56397732135216;0.807905953974487;0;1.87132593854622;0.802911603564855;0.797113539667974;0.105817174515235;0.00110803324099723;0;0;0
55;0.704813139050198;0.44367808452977;0.582896192413375;1.62997860504921;1.11063673711435;0;0.773033252713474;1.05133843753284;0;0.00275988960441582;0;0.00367985280588776;0;0
56;0.523908938686808;0.87313259875043;0.784230810405738;1.05777278562259;1.00754294646239;0;1.14057641213825;0.968202507902885;1.03245182280804;0;0;0.00123762376237624;0;0
57;1.86091417578111;1.15799257716454;0.594261856332298;0.827644415917843;1.15867438843175;0;0.93132617683152;1.01553358288395;1.2981563360307;0.00522648083623693;0;0.0233449477351916;0.000696864111498258;0
58;0.507050482738965;0.847174645207494;1.32815901223995;1.37921266581087;0.929403779871422;0;1.21321768553489;0.951771512961271;1.07040961041128;0;0.00255754475703325;0;0;0
60;1.28318785849157;1.31458220492461;0.746886486100703;1.01922336328626;0.761272000260515;0;0.397358607460713;1.13631365764134;0.341620088429132;0.000505305709954523;0.00859019706922688;0;0.0197069226882264;0
61;0.366347215789661;1.31960541433271;0.488723548513721;1.23027171587505;1.10424211469872;0;0.479757663850929;1.11767551412548;0.941353132560274;0.00353982300884956;0;0;0;0.0230088495575221
62;0.352730770601019;0.964196327917592;0.327980587374657;0.858990158322636;1.10954497231168;0;0.0200576650423552;1.22165673584555;0.83507132727121;0;0;0;0;0
63;0.35662118351206;0.67446093038871;1.56521428826321;1.5398352588789;0.87341184213458;0;1.11401355843351;0.974210856799446;0;0;0;0.18;0;0
64;0.156264918593466;0.424891281343485;0.539057203011812;0.775466409927257;1.10018698828881;0;2.04696603243063;0.763182929228414;0;0;0.004149377593361;0.045643153526971;0;0
65;0.204895079981474;0.591156191621329;1.28432002283838;0.843998716302952;0.789657885129889;0;1.01209893605614;0.9972632974638;0;0;0;0.00316455696202532;0;0
67;3.2608144216039;0.667336275854679;1.13656639189237;0.699535729567822;1.04606664735654;0;2.30337888553966;0.70518396947182;0.364394760991074;0.00119308013521575;0;0;0;0
68;0.304749011364851;2.91816085591145;0.621864182992542;0.609002995293111;0.942504957503441;0;0.749722993339926;1.05661107023799;4.68399099023943;0;0;0;0;0
69;0.464255940717518;1.05449370629406;0.930360775077615;0.736916987590928;0.766730824273856;0;1.08257181323198;0.98132277998313;1.38166346875782;0;0;0;0;0
70;1.82849406818911;0.661805763810491;0.931984441351747;1.13156183140779;0.945156386309921;0;1.02673561054651;0.99395257460243;0.4327187786769;0.00390070921985816;0.00106382978723404;0.00106382978723404;0;0
71;0.414328975025829;1.88327344167736;1.1430610569889;1.20048352588789;1.09348043307242;0;0.407116390454291;1.1341065090671;2.14081922082256;0;0;0;0;0.0156494522691706
73;0.484356407424561;1.6093250364932;1.23885736716269;1.05037441163885;0.695298212899278;0;0.754601884836715;1.05550749595087;0.910986902477684;0;0;0;0;0
74;1.70270405073212;1.0480374292102;0.982318095849838;1.4494972186564;1.03577286493138;0;0.0786043630038245;1.20841384440007;0.926170017518979;0.00418888042650419;0.0243716679360244;0.000380807311500381;0.011043412033511;0
75;1.49521536214329;1.51951088255896;0.858919459015808;0.560524176294394;0.978065296790349;0;0.867358488318063;1.03000266798179;2.40652373404522;0;0.00173460537727667;0;0;0
76;0.306045815668531;1.24873083557336;1.58307461727866;0.391919127086008;1.06072748899237;0;0.52854657881882;1.10663977125425;1.12355051305581;0.0211864406779661;0.0423728813559322;0.0529661016949153;0;0
77;0.429242224518152;1.10298386759187;0.392927238339935;1.50868421052632;1.06259908579695;0;0.630461201196192;1.08358733058989;1.72328355718695;0.0211480362537764;0;0.128398791540786;0;0
78;1.13081335280915;1.03643007920604;0.857295792741676;0.764758237056055;0.966679749562523;0;0.991499171958586;1.00192283334277;1.00208559272545;0.00344036697247706;0;0;0.00172018348623853;0
79;0.0849406818910542;0.669169539717998;0.62024051671841;0.96607188703466;1.3810824753753;0;0;1.22619365235928;0;0;0;0;0.00763358778625954;0
81;2.44382771028537;1.34382226537502;1.18527638011633;0.632366281557552;0.885109322163168;0;0.972525705026628;1.00621451112602;1.63218486693918;0.0252056248341735;0;0;0.0172459538339082;0
82;0.415625779329509;1.80097500535669;1.57008528708561;1.15726144629867;1.25303406066236;0;0.473794574243742;1.11902432714308;2.01176274297155;0.0046801872074883;0;0;0;0
83;0.638027717410667;0.944699633153799;0.956339435463726;1.27816645271716;0.970111010370909;0;0.556193630633958;1.10038618362722;1.38925502627847;0;0;0;0.00304878048780488;0
84;0.729452420820122;0.723438467541482;1.02453341897727;1.41737270004279;1.0273506793108;0;1.22405966663887;0.949319125656553;0.675648619337616;0.00977777777777778;0;0.0151111111111111;0;0
85;0.579671523745057;0.505190397291476;0.508207543803304;0.69681001283697;1.03982799134129;0;0.266712735157804;1.1658649246632;0;0;0.00111856823266219;0;0;0
86;1.16582706900851;2.20775284265934;1.32815901223995;0.564223363286264;1.14151808438982;0;0.355616980210406;1.14575534876451;3.42379244181196;0.000556173526140156;0.00111234705228031;0.00111234705228031;0.000556173526140156;0
87;1.23196408849621;0.907411643977326;1.29081468793491;0.710049208386821;0.824126459614129;0;2.08274457007375;0.755090051122843;0.918578459998332;0;0.0457894736842105;0;0;0
88;0.217863123018276;1.17012964743356;0.724155158262855;0.683765511339324;1.07694799463201;0;0.516078300549248;1.10946001665467;2.03453741553349;0;0;0;0.0208333333333333;0
89;0.752794898286366;0.917973668255079;1.10409306640973;1.72382113821138;0.914898904635973;0;1.19044952521654;0.95692152630118;0.781930424626679;0;0;0;0.120585701981051;0
90;0.30150700060565;0.559360521491891;0.45462655675695;1.26862644415918;0.982744288801784;0;2.93763478012224;0.561719312145785;0.819888212229916;0.00645161290322581;0;0;0;0
91;0.147187288467705;0.782367771300114;1.50189130357207;1.44093068035944;0.968707312767478;0;1.36121072760416;0.918296426251863;1.00208559272545;0;0.079295154185022;0;0;0
93;1.9075991307136;0.659727566595868;1.09272740249081;0.746456996148909;0.930963443875234;0;1.41325223690324;0.906524967189214;0.493451238842079;0.0248130523453433;0.00271923861318831;0.0499660095173351;0;0.000339904826648538
94;0.879233317895187;0.961614979479612;2.04744317168041;0.370502781343603;0.754565445044125;0;2.418845984297;0.679066044676568;1.34370568115458;0;0.00589970501474926;0;0;0
95;0.0693790302468916;2.08408640872726;4.09651000963494;1.14635857937527;1.02033219129365;0;0.506862616610868;1.11154454586369;2.12563610578126;0.00934579439252336;0;0;0;0
96;0.798831451067013;1.01762168867353;0.659208507297577;1.00656824989303;1.20905153575487;0;0.545351649529982;1.10283857093193;0.804705097188621;0;0;0.0762987012987013;0.000811688311688312;0
97;0.623762870070184;0.552534768674706;1.19826571030939;1.64127086007702;1.07819572583506;0;0.467831484636555;1.12037314016067;0.235338283140068;0.0395010395010395;0.0114345114345114;0;0;0
99;0.733342833731162;1.02980691533027;0.43027156264497;1.07763157894737;0.904605122210815;0;1.22243336947327;0.94968698375226;1.27538166346876;0.0106100795755968;0;0;0;0
100;2.14556272043892;1.02282839052447;1.00667308996182;0.553709884467266;1.04497488255387;0;1.00288325211776;0.999347826672811;1.05522649536998;0.000906618313689937;0.000604412209126624;0.000604412209126624;0;0
101;1.98346218247889;0.465115979887965;0.918995111158691;0.521195977749251;0.985551684008645;0;2.61400164416856;0.634923073191634;0.296070743305247;0.0003269042170644;0;0.0029421379535796;0;0
102;1.58015604403434;0.605663718561443;1.72595724940228;0.499390243902439;0.84284242765987;0;2.61617004038936;0.63443259573069;0.4327187786769;0;0.00861715223635618;0;0;0
103;0.437023050340233;1.26292866712352;0.940102772722407;0.961983311938382;0.858439067697987;0;1.17418655356058;0.960600107258258;1.57904396429465;0;0;0;0;0
106;0.217863123018276;0.980128619708003;1.59444028119759;1.04297603765511;1.06759001060914;0;0.226055306017895;1.1750613770559;0.227746725619421;0;0.00892857142857143;0;0.00297619047619048;0
